,title,artist,genre,lyric
10,  마중          , 강헌구  ,록 메탈,"니가 돌아온다면 내가 마중 나갈게 사뿐사뿐 와서 그냥 편히 쉬렴 봄꽃 피고 지고 눈보라 몰아쳐도 이 자리 이곳에서 네가 나타날 때까지 니가 돌아온다면 내가 마중 나갈게 멀고 힘들어도 다시 돌아와 줘 힘겨웠던 그때 그날에 그 많은 일들 다 잊고 이곳에서 네가 나타날 때까지 니가 돌아온다면 내가 마중 나갈게 멀고 힘들어도 다시 돌아와 줘 다시 다시 돌아와 줘 
"
11,  비온 후 맑음 주의보          , 흐림주의보  ,록 메탈,"오늘도 어김없이 하늘을 가린 구름 차가운 숨이 모여 하나둘 내려 너도나도 물을 피해 발을 옮기고 하늘 아래 벌레들만 남아버렸네 서서히 잠긴다 처마 밑의 사람들도 피할 수 없었지 이제 다시 갇혀버려 오늘도 그칠 생각 없는 이 비가 강이 되고 바다가 되어 모두 담겨 우산으론 등 뒤를 가릴 수 없어 같잖은 노력에도 나는 휩쓸려 오늘도 어김없이 하늘에선 비가 내려 차가운 숨이 모여 하나씩 구름 하늘 아랜 아무것도 남아있지 않아 벌레들은 물을 피해 사라져갔어 
"
12,  훈민정음          , 레모니안  ,록 메탈,"나랏말싸미 듕국에 달아  문자와로 서르 사맛디 아니할세  이런 젼차로 어린 백셩이  니르고져 홀배 이셔도  마참내 제 뜨들 시러펴디  몯 할 노미 하니라  내 이랄 위하야 어엿비 너겨  새로 스믈 여듧 짜랄 맹가노니  사람마다 해여 수비 니겨  날로 쑤메 뼌한케  하고져 할따라미니라  워어어어어 훈민정음  워어어어어어 훈민정음  나랏말싸미 듕국에 달아  문자와로 서르 사맛디 아니할세  이런 젼차로 어린 백셩이  니르고져 홀배 이셔도  마참내 제 뜨들 시러펴디  몯 할 노미 하니라  내 이랄 위하야 어엿비 너겨  새로 스믈 여듧 짜랄 맹가노니  사람마다 해여 수비 니겨  날로 쑤메 뼌한케  하고져 할따라미니라  워어어어어 훈민정음  워어어어어어 훈민정음  워어어어어 훈민정음  워어어어어어 훈민정음  
"
13,  Run  amp  Run  달림이 마라톤주제가           , 레모니안  ,록 메탈,"Run &amp; Run Run &amp; Run  내가 살아 있는 것을 느끼며  고개 들어 멀리 하늘 바라보면서  세상의 모든 얘기들 던져버리고  새로운 세상으로 달려나가리  그대 달려라 달려 달려라  나와의 싸움이다  우리들은 멈출 수 없어  Run &amp; Run Run &amp; Run  달려라 달려 달려라 저 세상속으로  우리들은 위대한 러너  Run &amp; Run Run &amp; Run  그대 달려라 달려 달려라  나와의 싸움이다  우리들은 멈출 수 없어  Run &amp; Run Run &amp; Run  달려라 달려 달려라 저 세상속으로  우리들은 위대한 러너  Run &amp; Run Run &amp; Run  그대 달려라 달려 달려라  나와의 싸움이다  우리들은 멈출 수 없어  Run &amp; Run Run &amp; Run  달려라 달려 달려라 저 세상속으로  우리들은 위대한 러너  Run &amp; Run Run &amp; Run  그대 달려라 달려 달려라 나와의 싸움이다 우리들은 멈출 수 없어 Run &amp; Run Run &amp; Run 달려라 달려 달려라 저 세상속으로 우리들은 위대한 러너 Run &amp; Run Run &amp; Run 
"
14,  사순절          , 먼지수  DustSoo   ,록 메탈,"지구 반대편 너의 손목을 잡아 데리고 와 바로 여기 젖과 꿀이 흐르는 땅 아르날즈에 너의 숨소리를 담아 옮겨둘게 바로 여기 니가 차지할 땅 노르웨이 흙 한 줌을 내게 가져와요 세상의 모든 귀함을 쓸어 담아 너를 빚을게 가여운 사월의 노래를 부르리 사월에 처음 태어난 니가 봄이었잖아 가려운 사막에 모래를 부으리 땅 끝에 심어두었던 꽃이 긁어줬잖아 다음 날에도 너는 혼자가 되어 걸어가네 호수 위를 빗방울이 떨어진다 지금까지도 나는 양면에 있고 슬퍼하네 그 공기의 침묵 사람들은 한곳으로 모두 돌아가죠 세상의 모든 영광에 눈을 감아버리고 가여운 사월의 노래를 부르리 사월에 처음 태어난 니가 봄이었잖아 가려운 사막에 모래를 부으리 땅 끝에 심어두었던 꽃이 긁어줬잖아 가여운 사월 가여운 사월 가여운 사월 
"
15,  쉬운 답          , 데이브레이크  DAYBREAK   span    span LUCY  ,록 메탈,"어떻게 그런 말을 하니 한숨도 못 자고 결국 무거운 아침이 되어 버렸어 오늘 약속을 고민하다가 그냥 일찍 나왔어 풀리지 않는 마음에 너무 답답해 너를 기다리면서 습관처럼 네가 좋아하는 메뉴를 고르다가 따뜻한 한숨이 나 왜 이래 왜 이러고 있지 너만 오면 바랄 게 없었던 처음의 그 맘이 다시 떠올라서 나도 모르게 웃음이 났어 풀리는 맘은 날씨처럼 어느새 봄이야 마주치는 모든 꽃을 보며 불러주던 꽃길만 걷게 해줄게 웃음이 터지는 너의 얼굴 이게 나의 봄이야 이렇게 좋은데 이렇게 행복한데 너를 바라보면서 습관처럼 우린 마주 보면 이렇게 풀리는데 아무리 엉켜봐도 이렇게 녹아버리는데 바보같은 내가 외워둘게 나는 그냥 너만 너만 있으면 돼 이렇게 쉬운 답이 있는 걸 오 이렇게 쉬운데 습관처럼 우린 마주 보면 이렇게 풀리는데 아무리 엉켜봐도 이렇게 녹아버리는데 바보같은 내가 외워둘게 나는 그냥 너만 너만 있으면 돼 그거면 돼 이렇게 쉬운 답이 있는걸 
"
16,  DEVILLL          , 하진  HAJIN   ,록 메탈,"Crawling deep in your dark 붉게 물들이는 밤 Burn the show Make it glow 검게 그을린 눈빛 흩날리는 네 절망 속에서 피어나는 나를 봐 Like a marionette I’ll take away your crown 네 모든 고통이 날 환히 비춰 And I won’t let you down 이 발끝에서 넌 더 깊이 무너질 테지 I’m a DEVILLL of my word I’m a DEVILLL of my word 광기에 빠져 난 또 미쳐가 불꽃처럼 더 타올라 Adieu I’m a DEVILLL of my word Let all the hopes burn tonight Crush the whole Split my soul 내 모든 걸 걸겠어 Bending far and breathing hard 벗어날 수는 없어 이 열망에 끌려가는 대로 숨이 멎을 때까지 I will never let go I’ll take away your crown 네 모든 고통이날 환히 비춰 And I won’t let you down 이 발끝에서 넌 더 깊이 무너질테지 I’m a DEVILLL of my word I’m a DEVILLL of my word 광기에 빠져 난 또 미쳐가 불꽃처럼 더 타올라 Adieu 애초에 널 위한 자비 따윈 없을 거야 넌 그대로 올려다보게 될 테니 Desires won’t stop me 돌이킬 순 없어 There is no mercy for you La La La La La La La La La La La La La La La La La La La La La La La La I’m a DEVILLL of my word 
"
17,  I Can Break          , 페즈 amp 요프  ,록 메탈,"여기 어딘지도 몰라 그냥 꾸물거려 수도 없이 헤엄쳐도 결국엔 제자리 어디가 출구인지 이 좁은 곳에서 좀 나아갈래 답답한데 거침없이 다가오는 파도들이 날 막아도 끝이 없는 수평선을 향해 달려 나갈래 여기 말고 더 더 넓은 곳으로 갈래 I Can Break 한계 따위 나를 못 막게 내 꿈의 조각들이 흩어져 빛네 온몸이 부서져도 좋아 아픔도 이겨내 그래 그래 탈출할래 어느 곳이든 좋아 어디든 좋아 모르는 세상 속에 날 던져 볼래 끝이 없는 어둠 속에 홀로 있는 기분 끝나지 않을 것만 같아 늘 제자리 결국 다 지나갈거야 등대의 불빛이 우릴 비춰 길을 보여 고요하게 다가오는 파도들이 날 막아도 끝이 없는 수평선을 향해 달려 나갈래 여기 말고 더 더 넓은 곳으로 갈래 I Can Break 한계 따위 나를 못 막게 내 꿈의 조각들이 흩어져 빛네 온몸이 부서져도 좋아 아픔도 이겨내 그래 그래 탈출할래 어느 곳이든 좋아 어디든 좋아 모르는 세상 속에 날 던져 볼래 포기하지 말고 달려가 전부를 걸었어 버티고 버텨야해 뒤돌아보지 말고 달려가 I Can Break 한계 따위 나를 못 막게 내 꿈의 조각들이 흩어져 빛네 온몸이 부서져도 좋아 아픔도 이겨내 그래 그래 탈출할래 어느 곳이든 좋아 어디든 좋아 모르는 세상 속에 날 던져 볼래 
"
18,  내 어머니          , GISIN  ,록 메탈,"세월이가도 잊혀질수가 없는 이 마음속깊이 날품어주던 그 대 옆에없어도 변하지않던 그 사람 떠나시려할 땐 눈물로 보내드 리니 고마워요내 어 머니 미안해요내 어 머니 언제다시만 나는날 우리다시금 웃 어요 고마워요내 어 머니 미안해요내 어 머니 다시한번 태 어나도 당신 이기 를 힘든세상에 홀로외로이 남겨 져 말못하던나 꼭안아주던 그 대 하고싶은것 그토록많던 그사 람 그모든걸내 게 미소만보여주 시니 고마워요내 어 머니 미안해요내 어 머니 언제다시만 나는날 우리다시금 웃 어요 고마워요내 어 머니 미안해요내 어 머니 다시한번 태 어나도 당신 이기 를 고마워요내 어 머니 미안해요내 어 머니 언제다시만 나는날 우리다시금 웃 어요 고마워요내 어 머니 미안해요내 어 머니 다시한번 태 어나도 당신 이기 를 
"
19,  Lovelorn          , 모드  mode   ,록 메탈,"어떤 미소가 당신에게 어울릴까 um um um um um 한참 거울을 보네 um um um um um um um um um 건조해진 손가락을 물어뜯네 그러지 말고 내 손을 잡아봐요 무르익은 사랑을 가진 당신 닮고 싶다는 생각을 해 내 모양을 지닌 사랑 그대밖에 없네 의심 조차도 하지 않길 바라요 무르익은 사랑을 가진 당신 닮고 싶다는 생각을 해 그대 낙서로 가득해진 마음들을 어딘가에다 감출래 괜찮겠죠 내 서툰 사랑을 알아줄 그대를 찾네 어딘가에서 나를 기다려줘요 
"
