,title,artist,genre,lyric,Unnamed: 0
10,  너의 빈자리  Song by Luce           , SOUND PALETTE  ,R amp B Soul,"네가 없어도 난 너무 잘 지냈어 걱정한 것보단 살아볼만했어 이젠 내 곁에 없는 너를 떠올리기엔 너의 빈자릴 채울 일이 너무 많아졌네 우린 꽤 많은 시간을 함께 보냈고 둘이 아닌 난 좀 많이 아플 거라고 근데 이제 나도 어른인가 봐 매일 밤 날 반기는 텅 빈 현관 앞이 갈수록 난 편해져가 그랬던 나였는데 왜 이제서야 마음 한 켠이 너무 허전해 애써 나로 가득 채운 너의 빈자리를 난 다시 비워놓고 있어 지금까지 너는 어디서 뭘 했어 난 너 없이 잘 살아가야 했어 정말 이기적이야 난 떠나보낸 네가 다시 내 옆으로 돌아와 주길 바라잖아 시간이 얼마나 지나갔을까 더 이상 내가 나를 채우지 못해 난 정말 욕심이 많아 돌아갈 순 없지만 근데도 네 자리를 비워놨어 절대 못 채울 그 자리를 몇 년이나 떠나보내고서야 나 철없던 그 시절을 계속 되짚어봐 한 번만 더 기회를 준다면 나의 같잖은 자존심에 너를 탓하는 멍청한 짓은 안 할 텐데 널 보내고 한동안 내가 느낀 편안함에 취해서 한참이나 내가 나를 속여왔네 후회하긴 너무 늦었지만 내가 못 견딜 것 같아서 그래 I'm so alone 매일 너 없는 밤이 너무 서러워 이젠 못 돌아간다는 걸 알면서도 그럴 일 없겠지만 혹시나 하는 마음에 널 계속 기다려 지금까지 너는 어디서 뭘 했어 난 너 없이 잘 살아가야 했어 정말 이기적이야 난 떠나보낸 네가 다시 내 옆으로 돌아와 주길 바라잖아 시간이 얼마나 지나갔을까 더 이상 내가 나를 채우지 못해 난 정말 욕심이 많아 돌아갈 순 없지만 근데도 네 자리를 비워놨어 절대 못 채울 그 자리를 난 계속 여기 서 있을게 네가 언제든 나에게로 돌아올 수 있게 뭐든 다 해줄 수 있어 나 예전과는 달라졌어 나 난 계속 여기 서 있을게 너의 빈자린 그것대로 그냥 비워둘게 이제 더는 볼 수 없는 너의 빈자리 너의 빈자리 너의 빈자리를 난 계속 여기 서 있을게 네가 언제든 나에게로 돌아올 수 있게 뭐든 다 해줄 수 있어 나 예전과는 달라졌어 나 난 계속 여기 서 있을게 너의 빈자린 그것대로 그냥 비워둘게 이제 더는 볼 수 없는 너의 빈자리 너의 빈자리 너의 빈자리를 
",
11,  Ooh Ooh          , THAMA  ,R amp B Soul,"우 우우 우 우 흐려지는 꿈 매일 똑같은 하루 그런 생각은 잠시 접어둬 오늘 밤 is never coming again 별생각 하기 싫은데 음음 내 몸은 이미 바삐 움직여 oh no yeah 바보처럼 길들여진 나 진짜 무서운 건 우리의 무의식인듯해 후회는 딱 한숨만큼이 적당해 확신은 샴페인 병 가득히 충전해 let's sing together 아직 우린 세상에 남아 우 우우 우 우 흐려지는 꿈 매일 똑같은 하루 그런 생각은 잠시 접어둬 오늘 밤 is never coming again 내 전화기를 확인하지 않은 지가 너무 오래야 이런 게 핑곗거리가 되는 세상이 된지 오래야 바보처럼 길들여진 나 진짜 무서운 건 우리의 무의식인듯해 후회는 딱 한숨만큼이 적당해 확신은 샴페인 병 가득히 충전해 let's sing together 아직 우린 세상에 남아 우 우우 우 우 흐려지는 꿈 매일 똑같은 하루 그런 생각은 잠시 접어둬 오늘 밤 is never coming again 우 우우 우 우 흐려지는 꿈 매일 똑같은 하루 그런 생각은 잠시 접어둬 오늘 밤 is never coming again 
",
12,  또각  Feat  허성현  Huh             , Jhnovr  ,R amp B Soul,"넌 아무렇지 않은 듯이 이별이란 걸 데려왔지 대책이 없어 놀란 순간 날 향해 오던 네 발 소린 왜 떠날 땐 날카로운 건지 내 맘이 스쳐 베인 것 같아 다시 돌아서면 초라한 날 보일까 봐서 겁을 내며 그저 네 발 소리에 귀 기울이는 걸 Baby 그대로 사라지면 난 괜찮을 것 같아 그래 그렇게 멈추지 말고 떠나줘 또각또각 멀어지는 중 또각또각 가빠지는 숨 겁이 나서 보지 못해 널 또각또각 멀어지는 중 또각또각 날이 선 네 굽 소리마저 끝나 버리면 그때의 기억에 살고있는 내 이 기분이 갈망이게 남아있게했던 그때 니 눈빛 그 늑대와 닮아있네 난 못벗어나 이대로 같이 무너져가 향기에 갇힌거라고 니 탓으로 오늘도 속여 날 잠깐이면 돼 잠깐이면 돼 hypnotize 아니 잠깐이면 돼 We Over now 우린 다른 날에 다른 말로 기억 돼 있어 하지만 난 여기에 남아 날 보던 눈빛 니 손길 딱 거기까지 바삐 걷던 걸음 이제는 더 멀리 또각대던 소린 작아져 저 멀리 좋게 말함 우린 연인이었던 거 단지 그 안에는 나만 남은 거야 날카로웠던 굽은 잠시만 넣어줘 다시 돌아서면 초라한 날 보일까 봐서 겁을 내며 그저 네 발 소리에 귀 기울이는 걸 Baby 그대로 사라지면 난 괜찮을 것 같아 그래 그렇게 멈추지 말고 떠나줘 너무나 비겁해진 내 맘은 그때 네가 넘어져 멈춰 서기를 바라네 이미 저 멀리 이젠 지워지고만 있는 걸 또각또각 멀어지는 중 또각또각 가빠지는 숨 또각또각 멀어지는 중 멀어지는 중 또각또각 멀어지는 중 또각또각 날이 선 네 굽 소리마저 끝나 버리면 난 
",
13,  도망쳐          , 리코  Rico   ,R amp B Soul,"Party is over 여긴 너무 시끄러워 여기서 꺼내줘 사람들의 미로 속에서 둘만의 시간이 필요해 둘만의 장소가 필요해 I wanna focus on you baby 다른 방해는 받고 싶지 않아 자꾸 우리 일에 참견해 전부 다 알아서 할 텐데 We just do what we gotta do 사라지자 like smooth criminal 눈에 띄지 않게 빠져나와서 We just do what we gotta do 어서 빨리 도망쳐 어서 여기서 도망쳐 어서 여길 벗어나서 어서 여길 도망치는 거야 어서 빨리 도망쳐 어서 여기서 도망쳐 방해꾼은 사라져줘 우리 둘만 도망치는 거야 주머니 속 잦은 울림 작은 것들은 깔끔하게 무시 미안 친구들 chunkin’ up the deuces 어디든 괜찮아 나의 집 너의 집 서로 몸을 데울 피난처 마음 놓을 곳을 찾아서 계속 빨라지는 발걸음 멈출 수 없는 거야 나와 너는 자꾸 우리 일에 참견해 전부 다 알아서 할 텐데 We just do what we gotta do 사라지자 like smooth criminal 눈에 띄지 않게 빠져나와서 We just do what we gotta do 어서 빨리 도망쳐 어서 여기서 도망쳐 어서 여길 벗어나서 어서 여길 도망치는 거야 어서 빨리 도망쳐 어서 여기서 도망쳐 방해꾼은 사라져줘 우리 둘만 도망치는 거야 어서 빨리 도망쳐 어서 여기서 도망쳐 어서 여길 벗어나서 어서 여길 도망치는 거야 어서 빨리 도망쳐 어서 여기서 도망쳐 방해꾼은 사라져줘 우리 둘만 도망치는 거야 
",
14,  Lovely Day          , 에스나  eSNa   ,R amp B Soul,"I don’t like those heart shaped candies with the messages that say I love you I don’t like the color pink and lord knows I don’t like flowers I always hated writing little cards saying sweet little things like You’re the best Oh I wish I could say that things have changed since I was a wee little girl But to my surprise I had some lovin for some givin No I didn’t know that I was dreamin more than livin Oh lovely day cuz you’re by my side Can you tell me that you love me if I didn’t have a pretty little face Oh why can’t I expect a box of chocolates from you every day every day every day No I don’t need the X and Os to make me feel secure when other girls are around Don’t let one day marked by halls be the only day you try your best But to my surprise you had some lovin for some givin And because you knew you made my dreamin be my livin Oh lovely day Oh lovely day Doo doo doo roo roo roo Doo doo doo roo roo roo Doo roo roo roo roo doo doo doo Doo doo doo roo roo roo Doo doo doo roo roo roo Doo roo roo roo roo roo roo roo roo 1 2 3 4 
",
15,  closingment  Song By 징고           , KozyPop  ,R amp B Soul,"하고 싶었던 말이 남아 있는데  막상 또 어떤 말을 해야 할지  아쉬운 마음이 많이 남아서  쉽게 등을 돌릴 수 없었어  우 봄날의 햇살처럼 나를 감싸주던  빛 바랜 우리 추억들이  우 우리 처음 만났던 그날이 생각나  너는 기억하고 있는지  Remember remember  Remember forever  Remember remember  Remember forever  Remember remember Remember forever Remember remember Remember forever 엔딩 크레딧이 올라 가고 불이 켜지면 그곳엔 아무도 없다는 걸 이젠 알아 하지만 도망치지 않아 미리 준비했던 멘트로 마지막 인사를 할 거야 우리들만 아는 이야기가 됐지만 아름다웠던 너의 그 미소가 책갈피가 됐지 이젠 추억할 수 있으니 니가 그리워 눈물이 나는 날에는 우 봄날의 햇살처럼 나를 감싸주던 빛 바랜 우리 추억들이 우 우리 처음 만났던 그날이 생각나 너는 기억하고 있는지 Remember remember Remember forever Remember remember Remember forever Remember remember Remember forever Remember remember Remember forever 
",
16,  Before Midnight          , Sean K  ,R amp B Soul,"잊을만한데 가끔 떠올라 넌 지난 일을 다시 추억하게 만들어 아무렇지 않게 눈을 뜨지만 공허하기도 해 난 눈이 온 날 비가 온 날 화창한 날 어두운 날 비겁한 날 사랑해 줘 고마웠어 I KNOW YOU ARE NOT THERE TO STROKE MY HAIR AND I CAN'T FEEL ANYTHING ANYTHING I KNOW THAT YOU WON'T COME BACK JUST FORGET WHAT I SAID SO I CAN'T SAY ANYTHING ANYTHING 변하지 않아 그리워하지만 걸을 때조차도 땅을 밀어내잖아 가까워진 만큼 서로를 알 때쯤 다시 밀어냈었지 처음에는 두 번째는 세 번째는 네 번째는 너와 나는 마지막이 돼버렸지 I KNOW YOU ARE NOT THERE TO STROKE MY HAIR AND I CAN'T FEEL ANYTHING ANYTHING I KNOW THAT YOU WON'T COME BACK JUST FORGET WHAT I SAID SO I CAN'T SAY ANYTHING ANYTHING 아름다웠을지도 끔찍했을지도 몰라 지금 보고 있는 건 지금 생각나는 건 지금 느껴지는 건 한밤중에 꿈이었을지도 몰라 I KNOW YOU ARE NOT THERE TO STROKE MY HAIR AND I CAN'T FEEL ANYTHING ANYTHING I KNOW THAT YOU WON'T COME BACK JUST FORGET WHAT I SAID SO I CAN'T SAY ANYTHING ANYTHING 
",
17,  알긴 알까  Feat  미소년           , colbin  콜빈   ,R amp B Soul,"잊혀질 때쯤 떠올라 너와 나 사랑했던 날 이런 기다림조차 궁금해 넌 알긴 알까 약속했던 날도 남은 기억도 다 잊어버릴게 이젠 더는 마주할 수 없는데 너와 걷던 거리를 걷고 있어 너를 보고 싶어 난 과거에 멈춰있어 우리 정말 행복했잖아 우리 했던 약속은 저 멀리에 너는 날 떠나고 잘 지내네 너는 날 정말 사랑하긴 했니 헤어질 준비가 안 됐어 끝까지 이기적으로 넌 사랑했다는 거짓말 나는 믿지 않아 넌 결국 변했어 우리 습관이 나의 몸에 배 힘들지만 꿈속에 너는 아직도 예쁜데 잊혀질 때쯤 떠올라 너와 나 사랑했던 날 이런 기다림조차 궁금해 넌 알긴 알까 약속했던 날도 남은 기억도 다 잊어버릴게 이젠 더는 마주할 수 없는데 시간은 계속 흘러가고 있어 그래도 널 기다리는 중이야 너가 준 선물과 얼굴이 선명히 남아 눈물만 나올 뿐이야 사랑했다면 좋아했다면 감정이 조금이라도 있다면 우리의 잿더미 속 사랑은 다시 뜨겁게 타오를까 궁금하다 너의 눈 코 입술 그 예쁜 몸매와 따스한 손과 나는 널 놓치지 못해 내게 돌아와 잊혀질 때쯤 떠올라 너와 나 사랑했던 날 이런 기다림조차 궁금해 넌 알긴 알까 약속했던 날도 남은 기억도 다 잊어버릴게 이젠 더는 마주할 수 없는데 길을 걷다가 자꾸 너 생각이나 길을 걷다가 너도 내 생각이나 애써 내 맘 몰라도 돼 너에겐 없어 난 이제 마지막 또한 널 간직해 약속했던 날도 남은 기억도 다 잊어버릴 게 이젠 더는 마주할 수 없는데 
",
18,  나 때문에          , Not bad kid  ,R amp B Soul,"이렇게 된 건 모두 나 때문에 누구를 탓해 네 집 앞에서 우네 내 입을 막아 몇 시간 전인데 왜 이제 와서 더 못한 게 분해 이렇게 된 건 모두 나 때문에 누구를 탓해 네 집 앞에서 우네 내 입을 막아 몇 시간 전인데 왜 이제 와서 더 못한 게 분해 가만히 있는 법밖에 몰라 내 귀에 너무 많은 게 들어와 미안해 이 말 한 번이면 다 된다는데 말이 안 나와 네가 돌아서 언젠가부터 불안함을 감지 잘될 거야 라며 애써 눈을 감지 그때가 온 거야 결국 다시는 널 보내야 하는 상황 없지 다신 찬 바람이 불고 내 가슴엔 상처가 안 지워져 여태 그대로 괜찮다고 말을 하는데도 사실은 불안해 다른 사람을 새로 만날 때도 혼자인 게 나아라고 거짓말 안 보인데 행복은 내 앞까지만 보이기만 하지 난 섬에 바위 같아 무채색을 입어 난 계속 가라앉아 이렇게 된 건 모두 나 때문에 누구를 탓해 네 집 앞에서 우네 내 입을 막아 몇 시간 전인데 왜 이제 와서 더 못한 게 분해 가만히 있는 법밖에 몰라 내 귀에 너무 많은 게 들어와 미안해 이 말 한 번이면 다 된다는데 말이 안 나와 네가 돌아서 네가 돌았지 내가 돌았는지 이젠 더 몰라 지나버린 시간들 어쩌면 좋을까 사실 나는 도망가 이제 와 내가 뭘 한다고 하지 못한 말 편해지고 싶어 다 잊고 언젠가 흐려지겠지 맘 다해서 이건 소나기처럼 왔다 가지도 않아 다 너의 버릇인 듯 고장 나있어 혼자인 게 나아라고 거짓말 안 보인데 행복은 내 앞까지만 보이기만 하지 난 섬에 바위 같아 무채색을 입어 난 계속 가라앉아 이렇게 된 건 모두 나 때문에 누구를 탓해 네 집 앞에서 우네 내 입을 막아 몇 시간 전인데 왜 이제 와서 더 못한 게 분해 가만히 있는 법밖에 몰라 내 귀에 너무 많은 게 들어와 미안해 이 말 한 번이면 다 된다는데 말이 안 나와 네가 돌아서 
",
19,  개구  featuring 최인우           , 민이치치  ,R amp B Soul,"하루종일 내 곁에 있어줘 그래도 급할땐 화장실은 가게 해줄게 이제 잠은 그만자고 날 바라봐 니가 좋아하는 공을 들고왔어 나랑 놀자 이해할 수가 없어 예전엔 나만바라봤는데 나도 알아 니 마음을 이제 내가 귀찮아졌단걸 그래도 나는 바보처럼 너 밖에 몰라 Please don’t leave me alone I just want you to stay here for long long time Please let me be with you I don’t want to stay away from you 요즘따라 너가 무척 바빠보여 늦은 밤이 되서 돌아오는 날이 많아졌어 너 없을땐 꿈나라에 가면 돼 근데 말야 너무 많이 자버려서 나 잠이 안와 이해할 수가 없어 예전엔 나만 바라봤는데 나도 알아 니 마음을 이제 내가 귀찮아졌단걸 그래도 나는 바보처럼 너 밖에 몰라 Please don’t leave me alone I just want you to stay here for long long time Please let me be with you I don’t want to stay away from you 다다 다이라디다이 다이라 디 다이 디 다이라디 라다데이 다다 다이라디다이 다이라 디 다이 디 다이라디 라데이 랏다 다다 다이라디다이 다이라 디 다이 디 다이라디 라다데이 다다 다이라디다이 다이라 디 다이 디 다이라디 라데이 랏다 
",
