,artist,genre,lyric,title
10, 송윤선  ,발라드,"난 오늘도 많은 사람들 속에 난 오늘도 그중 한사람 되어 여느 날과 다름없는 하루를 보내고 조금 더 웃고 조금 더 쓸쓸했네요 세상 제일 행복한 모습으로 하루를 마치고 집에 돌아와 텅 빈 방안에 밀려오는 공허함에 그대가 사무치게 그리울 때면 어른인 줄 알았는데 나는 아닌가 봐요 아직 멀었나 봐요 얼마나 더 지난 후에 나는 그대처럼 강해지나요 아니면 그대도 나와 같았던 건가요 위로가 되어주던 그대 그대 지금 어디에 나를 보고 있나요 조금씩 세상을 알아갈 때에 그대가 너무 보고 싶어요 어른인 줄 알았는데 나는 아닌가 봐요 아직 멀었나 봐요 얼마나 더 지난 후에 나는 그대처럼 강해지나요 아니면 그대도 나와 같았던 건가요 알고 있나요 그댄 내게 큰 선물이었단 걸 내게 머물러 강하기만 했던 한없이 작은 당신 또 만나요 
",
11, The Romanticist  ,발라드,"항상 바라만봤어 널 처음 본 그 순간부터 마냥 네가 좋아서 나 티 안 나게 웃는 너의 얼굴 난 보고 싶어서 그저 옆에서 친구로 지냈어 우린 편하게 길을 걷다가 팔짱을 끼고 우릴 연인처럼 생각하는 친구들에게 넌 그런 거 아니라고 많은 얘길 하지 않아도 돼요 굳이 넌 설명 안 해줘도 돼요 날 안고 있어도 나는 아무렇지도 않다고 그게 너의 진심이라면 이해할게요 혼자 시작했었던 이 사랑을 혼자 끝낼게요 나는 아니였네요 그런 너를 잃고 싶지 않아서 오랫동안 그렇게 지내왔었어 별거 아닌 너의 손길에 나 가슴 떨렸고 잘 들어가란 너의 그 말을 한참 생각 했어 너의 그 말에 난 밤새 설레였었지 많은 얘길 하지 않아도 돼요 굳이 넌 설명 안 해줘도 돼요 날 보고 있어도 나는 아무렇지도 않다고 그게 너의 진심이라면 이해할게요 혼자 시작했었던 이 사랑을 혼자 끝낼게요 나는 아니였네요 어느새 서로 많이 도 닮아있네요 너는 모르나봐요 그게 더 좋아요 그게 더 슬퍼요 그냥 그렇게 웃어주면 돼요 그게 내가 아니 여도 좋아요 널 보고 있어도 그것 만으로 난 좋은 걸요 이게 나의 마음이라면 나 다가갈게요 나 조금씩 천천히 더 가까이 날 보여줄게요 그땐 너도 조금은 
",
12, 일육쌈  ,발라드,"모두가 떠난 바다 거센 파도가 간 뒤 간신히 들리는 불꽃 소리에 귀를 기울여본다 혹시나 잊혀질까 누군가 싫어할까 어차피 바뀌지 않을 소리에 맘을 한껏 줬지만 나만 아는 답이야 어느 누구도 알려주진 않아 타버린 불꽃을 본 적이 없어서 쓸쓸히 남겨진 재를 만진 적도 없어서 조금은 두렵기도 하고 조금 아프기는 해도 굳이 붉지 않더라도 부디 흔들리지 않기를 열심히 살란 말에 문득 궁금해져 불꽃을 향해서 달려가는데 왜 난 자꾸 불안해 모르는 게 많아서 자꾸 제자리걸음만 같아서 타버린 불꽃을 본 적이 없어서 쓸쓸히 남겨진 재를 만진 적도 없어서 조금은 두렵기도 하고 조금 아프기는 해도 화려하지 않다해도 부디 흔들리지 않기를 흔들리지 않기를 타버린 불꽃을 본 적이 없어서 쓸쓸히 남겨진 재를 만진 적도 없어서 조금은 두렵기도 하고 조금 아프기는 해도 굳이 붉지 않더라도 그대 회색 꽃이어도 의미조차 없단 말에 부디 흔들리지 않기를 
",
13, 올로브  Olov   ,발라드,"언제든 나 그대의 봄바람이 돼줄게 그때의 너를 기억할 수 있게 언제든 난 그때의 너를 기억할 수 있게 그럴 때 너를 좋아한다 조심스레 내게 말할래 또 이렇게 빠진 것 같아 멀리 아니 옆에 있어도 또 이렇게 알면서도 왜 마음이 내 맘대로 안될까 한 번씩 넌 모르겠지만 그 향수 뿌릴 때 그 향기가 나를 간지럽힌 거야 분명히 멀리서 보고만 서있는 그때에 봄바람이 내게 불어온 거야 언제든 나 그대의 봄바람이 돼줄게 그때의 너를 기억할 수 있게 언제든 난 그때의 너를 기억할 수 있게 그럴 때 너를 좋아한다 조심스레 내게 말할래 너를 좋아한다 조심스레 내게 말할래 또 한 번 더 반한 것 같아 이런 게 너무 싫었었는데 또 나도 모르게 자꾸만 또다시 훔쳐보게 되는 걸 한 번씩 넌 모르겠지만 그 향수 뿌릴 때 그 향기가 나를 간지럽힌 거야 분명히 멀리서 보고만 서있는 그때에 봄바람이 내게 불어온 거야 언제든 나 그대의 봄바람이 돼줄ㄱ 그때의 너를 기억할 수 있게 언제든 난 그때의 너를 기억할 수 있게 그럴 때 너를 좋아한다 조심스레 내게 말할게 언제든 난 그대에게 봄바람이 돼줄게 그때의 너를 기억할 수 있게 언제든 난 그때의 너를 기억할 수 있게 그럴 때 너를 좋아한다 조심스레 내게 말할래 너를 좋아한다 조심스레 내게 말할래 
",
14, 정재근  ,발라드,"섬이 말을 하네 그곳의 작은 섬 비바람으로 물보라로 파도야 말해줘 파도야 소리쳐 오지 말라고 돌아가라고 봄밤이 깊어 가는 날 별빛 자꾸만 흔들리고 새벽 산 밝아 오는데 저 하늘 물새들 울음소리 그 손을 잡지 못한 것 아직도 미안해 잊으려 해도 그 안타까운 순간 세월이 흘러갔어도 아직도 그리워해 함께 있었던 기쁨을 기억할게 봄밤이 깊어 가는 날 별빛 자꾸만 흔들리고 수평선 희미해지고 저 멀리 부두에 물빛들이 그 손을 잡지 못한 것 아직도 미안해 잊으려 해도 그 안타까운 순간 세월이 흘러갔어도 아직도 그리워해 함께 있었던 기쁨을 기억할게 워 워 오 섬 그곳의 작은 섬 워우워우 워 워 오 섬 그곳의 작은 섬 우우우우 우 우 우 
",
15, 서아  Seo A   ,발라드,"얼마나 더 기다려야 그댈 볼 수 있을까요 닿을 수 없는 그대의 마음을 알 것 같아 이젠 더 아파져요 시간을 건너서 그댈 잊을 수 없나요 지날수록 커져만 가는 그리움에 잠겨 시간이 흘러도 바라봐 줄 순 없겠죠 아무것도 못하고 기다리는 나를 하루하루 지쳐만 가는 내가 점점 미워져요 놓을 수 없는 그대를 밀어낼수록 커지는 내 맘 어떻게 하죠 시간을 건너서 그댈 잊을 수 없나요 지날수록 커져만 가는 그리움에 잠겨 시간이 흘러도 바라봐 줄 순 없겠죠 아무것도 못하고 기다리는 찢어질 것 같이 아파도 스쳐가는 그댈 불러 볼 수 조차 없죠 그댄 아나요 시간이 지나도 그댈 잊을 수 없겠죠 멀어지고 흩어져 이젠 보이지 않는데 언젠가 우리가 스쳐갈 그 순간에는 한 번만 돌아봐줘요 기다리는 나를 
",
16, 김대환  ,발라드,"덩그러니 서 있는 낡은 기차 너와 내가 만나던 추억의 그 카페 화려한 무대에서 노래를 부르던 내 사랑 지금 어디에서 무얼 하는지 이제서야 돌아왔구나 벚꽃비가 흩날리는 경화역 앞에서 영원토록 같이하자고 언약을 했었던 이루지 못한 그날의 약속 변한 것은 아무것도 없는 것 같은데 빛바랜 벤치는 세월의 흔적을 말해주는 듯 경화역에서 사랑을 이루지도 못한 언약을 이젠 모두 지나버린 이야기 잊혀져간 추억 경화역 기찻길을 따라 걸어본다 두 손 잡고 거닐었던 그날의 기억을 다시 한번 그 시절을 기억을 해본다 떨어지는 벚꽃 아래로 변한 것은 아무것도 없는 것 같은데 빛바랜 벤치는 세월의 흔적을 말해주는 듯 경화역에서 사랑을 이루지도 못한 언약을 이젠 모두 지나버린 이야기 잊혀져간 추억 경화역 
",
17, 농부와베짱이  ,발라드,"사랑아 그리운 사람아 다시 봄은 찾아 왔네 꽃비 내리던 그날에 두손 꼭 잡고 걸었는데 잘있으란 말도 없이 홀연히 떠나버린후 남은 가슴 멍이되어 불러보지 못한 그이름 보고싶다 사랑아 그대 향한 이내 마음 이봄 내리는 꽃비는 잘 있다는 소식인가 우리 다시 만나서 꽃비 내리는 날에 두손 꼭 마주잡고 그 길을 걸어보자 잘있으란 말도 없이 홀연히 떠나버린후 남은 가슴 멍이되어 불러보지 못한 그이름 보고싶다 사랑아 그대 향한 이내 마음 이봄 내리는 꽃비는 잘 있다는 소식인가 우리 다시 만나서 꽃비 내리는 날에 두손 꼭 마주잡고 그 길을 걸어보자 보고 싶다 사랑아 꽃길을 걸어보자 보고싶다 그대여 사랑해 
",
18, 박용준  ,발라드,"너는 누구의 생각으로 세상을 살고 있니 너랑 다른 사람들의 생각을 먹진 않니 너는 누구의 시선으로 세상을 보고 있니 이리 갈지 저리 갈지 헤메고 있진 않니 니가 맞아 너에게는 너만의 갈 길이 있어 기웃 거리지는 마 하루에도 열두번씩 생각이 바뀔수있어 그래도 잊지는 마 니가 원하는게 뭔지 너는 누구의 말을 듣고 세상을 살고 있니 너랑 다른 사람들의 말들을 믿진 않니 너는 무엇을 바라보고 자신을 비교하니 이걸 봐도 저걸 봐도 모두 좋아 보이니 니가 맞아 너에게는 너만의 갈 길이 있어 기웃 거리지는 마 하루에도 열두번씩 생각이 바뀔수있어 그래도 잊지는 마 니가 원하는게 뭔지 그게 맞아 놓지 마 니가 맞아 니가 맞아 니가 맞아 니가 맞아 
",
19, 한강  ,발라드,"푸르른 언덕 위에 외로운 나무 밑동 흐르는 고요함을 깬 바람 소리 그 곁을 스쳐 지나간다 아주 오래 전날 찾아와 내 곁에 머물다 떠난 널 또다시 만나면 너에게 해주고 싶은 말 꼬마야 내 줄기를 타고 올라와 가지에 매달려 그네를 타거라 널 위해 모두 내어줄 테니 내 곁에 머물러 주겠니 꼬마야 내 줄기를 타고 올라와 가지에 매달려 그네를 타거라 널 위해 모두 내어줄 테니 내 곁에 머물러 주겠니 
",
