,title,reviews,scores,genres
0,과일 색상 정렬 퍼즐,맛있는과일게임을만들어주어서고맛습니당.과일이먹을만큼이쁘네용.,"<div class=""pf5lIe""><div aria-label=""별표 5개 만점에 4.9개를 받았습니다."" role=""img""><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""L0jl5e bUWb7c cm4lTe""><div class=""vQHuPe bUWb7c D3FNOd"" style=""width: 93.54839324951172%""></div></div></div></div>",퍼즐
1,과일 색상 정렬 퍼즐,최고짱,"<div class=""pf5lIe""><div aria-label=""별표 5개 만점에 4.9개를 받았습니다."" role=""img""><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""L0jl5e bUWb7c cm4lTe""><div class=""vQHuPe bUWb7c D3FNOd"" style=""width: 93.54839324951172%""></div></div></div></div>",퍼즐
2,과일 색상 정렬 퍼즐,이뻐요,"<div class=""pf5lIe""><div aria-label=""별표 5개 만점에 4.9개를 받았습니다."" role=""img""><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""L0jl5e bUWb7c cm4lTe""><div class=""vQHuPe bUWb7c D3FNOd"" style=""width: 93.54839324951172%""></div></div></div></div>",퍼즐
3,A Tale for Anna,Play를 누르면 정지되어 꺼집니다,"<div class=""pf5lIe""><div aria-label=""별표 5개 만점에 3.7개를 받았습니다."" role=""img""><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""L0jl5e bUWb7c cm4lTe""><div class=""vQHuPe bUWb7c D3FNOd"" style=""width: 70.00000476837158%""></div></div><div class=""L0jl5e bUWb7c""></div></div></div>",캐주얼 게임
4,A Tale for Anna,랭기지 한국어 지원좀 해주시면 안되나요?,"<div class=""pf5lIe""><div aria-label=""별표 5개 만점에 3.7개를 받았습니다."" role=""img""><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""L0jl5e bUWb7c cm4lTe""><div class=""vQHuPe bUWb7c D3FNOd"" style=""width: 70.00000476837158%""></div></div><div class=""L0jl5e bUWb7c""></div></div></div>",캐주얼 게임
5,머지 머지 (Merge Merge),하다보니 중독성있어요!! 단순해보이면서도 머리쓰게 되네용 ㅎㅎ 재밌습니다,"<div class=""pf5lIe""><div aria-label=""별표 5개 만점에 4.8개를 받았습니다."" role=""img""><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""L0jl5e bUWb7c cm4lTe""><div class=""vQHuPe bUWb7c D3FNOd"" style=""width: 78.21784019470215%""></div></div></div></div>",캐주얼 게임
6,머지 머지 (Merge Merge),재밌게 하고있는데 아이템 합칠때 효과가 너무 눈부셔요ㅠㅠ,"<div class=""pf5lIe""><div aria-label=""별표 5개 만점에 4.8개를 받았습니다."" role=""img""><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""L0jl5e bUWb7c cm4lTe""><div class=""vQHuPe bUWb7c D3FNOd"" style=""width: 78.21784019470215%""></div></div></div></div>",캐주얼 게임
7,머지 머지 (Merge Merge),재미있어요!! 최근에 한 머지게임 중 최고 ^^,"<div class=""pf5lIe""><div aria-label=""별표 5개 만점에 4.8개를 받았습니다."" role=""img""><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""L0jl5e bUWb7c cm4lTe""><div class=""vQHuPe bUWb7c D3FNOd"" style=""width: 78.21784019470215%""></div></div></div></div>",캐주얼 게임
8,머지 머지 (Merge Merge),굳ㅎㅎ 우연히 다운받았는데 재밋네요,"<div class=""pf5lIe""><div aria-label=""별표 5개 만점에 4.8개를 받았습니다."" role=""img""><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""L0jl5e bUWb7c cm4lTe""><div class=""vQHuPe bUWb7c D3FNOd"" style=""width: 78.21784019470215%""></div></div></div></div>",캐주얼 게임
9,머지 머지 (Merge Merge),스토리 개꿀잼. 다음 내용이 궁금해요!,"<div class=""pf5lIe""><div aria-label=""별표 5개 만점에 4.8개를 받았습니다."" role=""img""><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""L0jl5e bUWb7c cm4lTe""><div class=""vQHuPe bUWb7c D3FNOd"" style=""width: 78.21784019470215%""></div></div></div></div>",캐주얼 게임
