,title,reviews,scores,genres
0,Ocean Domination,I like Fish~~~~!!!★ And New fish make~~~★,"<div class=""pf5lIe""><div aria-label=""별표 5개 만점에 3.9개를 받았습니다."" role=""img""><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""L0jl5e bUWb7c cm4lTe""><div class=""vQHuPe bUWb7c D3FNOd"" style=""width: 88.88888359069824%""></div></div><div class=""L0jl5e bUWb7c""></div></div></div>",아케이드
1,Ocean Domination,꿀잼,"<div class=""pf5lIe""><div aria-label=""별표 5개 만점에 3.9개를 받았습니다."" role=""img""><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""L0jl5e bUWb7c cm4lTe""><div class=""vQHuPe bUWb7c D3FNOd"" style=""width: 88.88888359069824%""></div></div><div class=""L0jl5e bUWb7c""></div></div></div>",아케이드
2,Ocean Domination,광고 오짐,"<div class=""pf5lIe""><div aria-label=""별표 5개 만점에 3.9개를 받았습니다."" role=""img""><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""L0jl5e bUWb7c cm4lTe""><div class=""vQHuPe bUWb7c D3FNOd"" style=""width: 88.88888359069824%""></div></div><div class=""L0jl5e bUWb7c""></div></div></div>",아케이드
3,Cook Off: Pet Rescue,네 드러가세요.,"<div class=""pf5lIe""><div aria-label=""별표 5개 만점에 4.7개를 받았습니다."" role=""img""><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""L0jl5e bUWb7c cm4lTe""><div class=""vQHuPe bUWb7c D3FNOd"" style=""width: 65.04855155944824%""></div></div></div></div>",액션
4,Madness Music Fight Mod FNF,와......어렵다... 저가 프나펌 고수인데 즉사키가 많고 이상한 표지판 않누르면 죽네요ㅎㅎㅎ 그리고 속도도 그럭저럭 고수분들 꼭 해보세요 꿀잼입니다ㅎㅎㅎ 초보분들도 easy로 하보세요 실력쌓기 가능합니다^^,"<div class=""pf5lIe""><div aria-label=""별표 5개 만점에 4.6개를 받았습니다."" role=""img""><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""L0jl5e bUWb7c cm4lTe""><div class=""vQHuPe bUWb7c D3FNOd"" style=""width: 64.28570747375488%""></div></div></div></div>",음악
5,Madness Music Fight Mod FNF,저도 프나펑 고수인데 정말 재밌네요 유툽각이 잘나올거같아요,"<div class=""pf5lIe""><div aria-label=""별표 5개 만점에 4.6개를 받았습니다."" role=""img""><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""L0jl5e bUWb7c cm4lTe""><div class=""vQHuPe bUWb7c D3FNOd"" style=""width: 64.28570747375488%""></div></div></div></div>",음악
6,브레인 퍼즐: 디스플레이스 마스터,너무야해요.전체이용가가 아니라 15~18로 해야할거같아요.그리고 설정들어가서 진동꺼도 계속 진동이 울려요.,"<div class=""pf5lIe""><div aria-label=""별표 5개 만점에 3.8개를 받았습니다."" role=""img""><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""L0jl5e bUWb7c cm4lTe""><div class=""vQHuPe bUWb7c D3FNOd"" style=""width: 80.9999942779541%""></div></div><div class=""L0jl5e bUWb7c""></div></div></div>",퍼즐
7,브레인 퍼즐: 디스플레이스 마스터,게임이 너무 야하네요,"<div class=""pf5lIe""><div aria-label=""별표 5개 만점에 3.8개를 받았습니다."" role=""img""><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""L0jl5e bUWb7c cm4lTe""><div class=""vQHuPe bUWb7c D3FNOd"" style=""width: 80.9999942779541%""></div></div><div class=""L0jl5e bUWb7c""></div></div></div>",퍼즐
8,브레인 퍼즐: 디스플레이스 마스터,요즘은 새로 변태 광고 올려놓고 플레이 하면 달라.. 쯧쯧,"<div class=""pf5lIe""><div aria-label=""별표 5개 만점에 3.8개를 받았습니다."" role=""img""><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""L0jl5e bUWb7c cm4lTe""><div class=""vQHuPe bUWb7c D3FNOd"" style=""width: 80.9999942779541%""></div></div><div class=""L0jl5e bUWb7c""></div></div></div>",퍼즐
9,브레인 퍼즐: 디스플레이스 마스터,걍 19금이라해놓지.,"<div class=""pf5lIe""><div aria-label=""별표 5개 만점에 3.8개를 받았습니다."" role=""img""><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""L0jl5e bUWb7c cm4lTe""><div class=""vQHuPe bUWb7c D3FNOd"" style=""width: 80.9999942779541%""></div></div><div class=""L0jl5e bUWb7c""></div></div></div>",퍼즐
10,브레인 퍼즐: 디스플레이스 마스터,개야함 하지마셈 절대로,"<div class=""pf5lIe""><div aria-label=""별표 5개 만점에 3.8개를 받았습니다."" role=""img""><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""L0jl5e bUWb7c cm4lTe""><div class=""vQHuPe bUWb7c D3FNOd"" style=""width: 80.9999942779541%""></div></div><div class=""L0jl5e bUWb7c""></div></div></div>",퍼즐
